Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
29.0	0.71	0.66	0.55	0.79	0.72
29.1	0.61	0.9	0.81	0.81	0.77
29.2	0.65	0.52	0.85	0.8	0.71
29.3	0.73	0.69	0.88	0.77	0.74
29.4	0.57	0.81	0.88	0.9	0.7
29.5	0.29	0.51	0.59	0.55	0.7
29.6	0.35	0.5	0.88	0.55	0.36
29.7	0.3	0.79	0.66	0.66	0.17
29.8	0.29	0.49	0.75	0.79	0.23
29.9	0.8	0.64	0.76	0.75	0.24
30.0	0.8	0.61	0.7	0.83	0.29
30.1	0.69	0.63	0.66	0.76	0.22
30.2	0.58	0.7	0.79	0.78	0.33
30.3	0.59	0.7	0.66	0.71	0.23
30.4	0.71	0.69	0.72	0.8	0.22
30.5	0.56	0.78	0.67	0.78	0.24
30.6	0.65	0.74	0.8	0.76	0.26
30.7	0.38	0.77	0.8	0.53	0.31
30.8	0.62	0.72	0.75	0.76	0.3
30.9	0.56	0.75	0.84	0.74	0.34
31.0	0.5	0.59	0.5	0.78	0.34
31.1	0.74	0.76	0.79	0.78	0.73
31.2	0.67	0.67	0.69	0.83	0.76
31.3	0.68	0.67	0.78	0.74	0.73
31.4	0.62	0.6	0.81	0.77	0.71
31.5	0.64	0.68	0.69	0.72	0.69
31.6	0.53	0.64	0.66	0.74	0.68
31.7	0.7	0.73	0.82	0.76	0.75
31.8	0.76	0.61	0.64	0.81	0.67
31.9	0.65	0.64	0.7	0.81	0.73
32.0	0.65	0.54	0.72	0.72	0.72
32.1	0.72	0.69	0.82	0.79	0.75
32.2	0.68	1.01	0.76	0.9	0.85
32.3	0.69	0.83	0.62	0.68	0.83
32.4	0.76	0.7	0.71	0.64	0.7
32.5	0.68	0.59	0.65	0.75	0.8
32.6	0.66	0.79	0.56	0.72	0.71
32.7	0.83	0.81	0.61	0.62	0.7
32.8	0.62	0.71	0.67	0.59	0.74
32.9	0.73	0.69	0.87	0.63	0.76
33.0	0.73	0.71	0.77	0.64	0.77
33.1	0.75	0.7	0.66	0.88	0.71
33.2	0.46	0.57	0.62	0.72	0.72
33.3	0.78	0.67	0.63	0.85	0.7
33.4	0.59	0.73	0.59	0.78	0.76
33.5	0.64	0.61	0.66	0.83	0.73
33.6	0.62	0.6	0.37	0.82	0.71
33.7	0.68	0.53	0.51	0.75	0.72
33.8	0.68	0.6	0.46	0.74	0.73
33.9	0.58	0.59	0.5	0.73	0.77
34.0	0.53	0.5	0.41	0.8	0.7
34.1	0.84	0.6	0.38	0.8	0.74
34.2	0.63	0.81	0.54	0.76	0.68
34.3	0.75	0.73	0.98	0.72	0.51
34.4	0.71	0.66	0.82	0.96	0.74
34.5	0.57	0.64	0.61	0.9	0.75
34.6	0.59	0.8	0.57	0.8	0.7
34.7	0.58	0.63	0.64	0.77	0.77
34.8	0.67	0.73	0.72	0.68	0.73
34.9	0.73	0.56	0.52	0.52	0.74
35.0	0.72	0.66	0.75	0.74	0.8
35.1	0.63	0.72	0.74	0.81	0.74
35.2	0.74	0.57	0.8	0.75	0.74
35.3	0.66	0.52	0.72	0.82	0.71
35.4	0.68	0.75	0.98	0.75	0.7
35.5	0.59	0.52	0.89	0.76	0.72
35.6	0.69	0.4	0.73	0.71	0.75
35.7	0.87	0.49	0.68	0.72	0.72
35.8	0.56	0.54	0.89	0.85	0.71
35.9	0.63	0.7	0.77	0.65	0.7
36.0	0.81	0.7	0.79	0.38	0.78
36.1	0.7	0.73	0.88	0.52	0.73
36.2	0.77	0.7	0.82	0.59	0.73
36.3	0.73	0.62	0.83	0.73	0.77
36.4	0.77	0.6	0.74	0.79	0.75
36.5	0.27	0.64	0.83	0.39	0.76
36.6	0.3	0.64	0.73	0.59	0.69
36.7	0.77	0.69	0.92	0.5	0.77
