Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
31.3	2.25	2.89	2.57	2.46	2.1
31.4	2.25	2.82	2.46	2.57	2.17
31.5	2.19	2.79	2.57	2.49	2.11
31.6	2.24	2.71	2.41	2.65	2.21
31.7	2.25	2.83	2.56	2.63	2.05
31.8	2.35	2.91	2.49	2.68	2.16
31.9	2.44	2.82	2.59	2.45	2.12
32.0	2.53	2.71	2.6	2.62	2.14
32.1	2.41	2.87	2.46	2.66	2.12
32.2	2.41	2.88	2.47	2.71	1.99
32.3	2.44	2.82	2.57	2.6	2.07
32.4	2.43	3.05	2.48	2.65	2.07
32.5	2.5	2.85	2.52	2.61	2.1
32.6	2.53	2.73	2.42	2.6	2.13
32.7	2.62	2.9	2.4	2.61	2.1
32.8	2.61	2.9	2.5	2.63	2.17
32.9	2.63	2.87	2.56	2.67	2.09
33.0	2.6	2.75	2.44	2.48	2.11
33.1	2.59	2.98	2.48	2.47	2.04
33.2	2.52	2.84	2.41	2.47	2.06
33.3	2.58	2.71	2.43	2.52	2.06
33.4	2.75	2.71	2.58	2.52	2.07
33.5	2.58	2.83	2.5	2.68	2.11
33.6	2.58	2.88	2.44	2.52	2.13
33.7	2.48	2.74	2.44	2.69	2.09
33.8	2.48	2.74	2.38	2.62	2.03
33.9	2.47	2.78	2.38	2.65	2.05
34.0	2.46	2.81	2.38	2.57	2.18
34.1	2.42	2.86	2.46	2.45	2.09
34.2	2.5	2.82	2.54	2.44	2.03
34.3	2.51	2.85	2.58	2.42	2.19
34.4	2.51	2.88	2.74	2.32	2.11
34.5	2.44	2.88	2.84	2.36	2.18
34.6	2.48	3.04	2.6	2.33	2.11
34.7	2.45	3.04	2.57	2.47	2.08
34.8	2.5	3.03	2.58	2.42	2.18
34.9	2.52	2.91	2.72	2.46	2.11
35.0	2.63	2.77	2.64	2.39	2.1
35.1	2.66	2.74	2.56	2.3	2.12
35.2	2.7	2.63	2.67	2.37	2.09
35.3	2.7	2.89	2.58	2.49	2.1
35.4	2.79	2.97	2.81	2.55	2.16
35.5	2.95	2.89	3.02	2.54	2.09
35.6	2.9	2.94	2.91	2.53	2.17
35.7	2.94	2.86	2.82	2.71	2.16
35.8	2.89	2.93	2.91	2.54	2.08
35.9	2.92	2.88	2.83	2.68	2.12
36.0	2.76	2.92	2.68	2.57	2.2
36.1	2.66	2.88	2.7	2.67	2.19
36.2	2.52	2.8	2.72	2.68	2.09
36.3	2.57	2.94	2.84	2.67	2.18
36.4	2.47	2.94	2.93	2.65	2.13
36.5	2.54	2.94	2.91	2.63	2.05
36.6	2.53	2.94	2.7	2.77	2.01
36.7	2.64	2.72	2.58	2.77	2.21
36.8	2.54	2.64	2.38	2.71	2.08
36.9	2.46	2.69	2.46	2.62	1.99
37.0	2.5	2.81	2.56	2.62	1.94
37.1	2.64	2.78	2.6	2.72	1.95
37.2	2.6	2.72	2.71	2.53	1.99
37.3	2.55	2.73	2.6	2.45	2.02
37.4	2.63	2.63	2.65	2.55	2.02
37.5	2.71	2.54	2.69	2.42	2.05
37.6	2.75	2.57	2.68	2.63	2.01
37.7	2.61	2.59	2.37	2.56	2.05
37.8	2.8	2.58	2.5	2.58	2.17
37.9	2.76	2.59	2.56	2.66	2.17
38.0	2.83	2.56	2.46	2.57	2.14
38.1	2.76	2.52	2.38	2.65	2.16
38.2	2.75	2.63	2.46	2.53	2.24
38.3	2.84	2.67	2.4	2.49	2.25
38.4	2.88	2.67	2.25	2.56	2.24
38.5	2.8	2.67	2.33	2.48	2.12
38.6	2.75	2.68	2.39	2.62	2.26
38.7	2.74	2.66	2.42	2.58	2.27
38.8	2.72	2.75	2.53	2.73	2.3
38.9	2.77	2.77	2.62	2.68	2.26
39.0	2.73	2.85	2.58	2.72	2.21
39.1	2.7	2.7	2.37	2.63	2.23
39.2	2.65	2.73	2.38	2.65	2.11
39.3	2.55	2.83	2.27	2.6	2.13
39.4	2.63	2.85	2.19	2.52	2.13
39.5	2.6	2.86	2.33	2.59	2.1
39.6	2.57	2.92	2.47	2.57	2.17
39.7	2.42	2.94	2.36	2.61	2.21
39.8	2.57	2.95	2.18	2.64	2.16
39.9	2.54	3.01	2.31	2.55	2.21
40.0	2.61	3.04	2.29	2.58	2.24
40.1	2.62	3.21	2.26	2.55	2.32
40.2	2.58	3.02	2.3	2.48	2.21
40.3	2.58	3.04	2.34	2.5	2.1
40.4	2.63	2.96	2.4	2.59	2.15
40.5	2.85	2.91	2.37	2.59	2.08
40.6	2.64	2.97	2.39	2.53	2.13
40.7	2.86	2.87	2.36	2.51	2.18
40.8	2.86	2.94	2.34	2.58	2.1
40.9	2.75	3.02	2.21	2.62	2.2
41.0	2.84	3.09	2.33	2.53	2.22
41.1	2.81	3.01	2.36	2.72	2.2
41.2	2.73	3.07	2.46	2.64	2.26
41.3	2.76	3.03	2.45	2.63	2.22
41.4	2.82	3.04	2.4	2.76	2.27
41.5	2.71	3.03	2.45	2.77	2.3
41.6	2.76	3.02	2.36	2.8	2.41
41.7	2.77	3.0	2.51	2.82	2.31
41.8	2.75	3.05	2.34	2.8	2.35
41.9	2.64	3.08	2.36	2.78	2.32
42.0	2.69	3.09	2.29	2.85	2.41
42.1	2.84	3.1	2.39	2.7	2.31
42.2	2.75	3.2	2.55	2.74	2.29
42.3	2.6	3.22	2.4	2.8	2.29
42.4	2.8	3.09	2.46	2.85	2.38
42.5	2.7	3.14	2.32	2.72	2.25
42.6	2.59	3.19	2.46	2.74	2.22
42.7	2.73	3.28	2.29	2.6	2.31
42.8	2.72	3.15	2.31	2.58	2.29
42.9	2.72	3.2	2.28	2.56	2.33
43.0	2.64	3.14	2.41	2.59	2.4
43.1	2.7	3.34	2.3	2.71	2.34
43.2	2.67	3.3	2.2	2.78	2.28
43.3	2.63	3.43	2.2	2.67	2.22
43.4	2.58	3.3	2.22	2.66	2.23
43.5	2.53	3.22	2.14	2.86	2.2
43.6	2.49	3.22	2.07	2.92	2.36
43.7	2.51	3.1	2.08	2.78	2.39
43.8	2.49	3.21	2.04	2.82	2.47
43.9	2.46	3.22	2.07	2.79	2.3
44.0	2.48	3.37	2.15	2.67	2.34
44.1	2.59	3.26	2.06	2.61	2.34
44.2	2.51	3.27	2.03	2.7	2.35
44.3	2.59	3.27	2.2	2.71	2.52
44.4	2.65	3.39	2.19	2.66	2.36
44.5	2.65	3.35	2.3	2.67	2.35
44.6	2.71	3.22	2.12	2.72	2.47
44.7	2.71	3.27	2.18	2.76	2.52
44.8	2.69	3.25	2.16	2.75	2.38
44.9	2.8	3.25	2.25	2.79	2.47
45.0	2.65	3.23	2.22	2.69	2.39
45.1	2.76	3.3	2.27	2.65	2.4
45.2	2.77	3.35	2.21	2.69	2.47
45.3	2.88	3.36	2.2	2.83	2.46
45.4	2.85	3.33	2.25	2.72	2.38
45.5	2.84	3.34	2.21	2.65	2.38
45.6	2.96	3.28	2.15	2.74	2.43
45.7	3.02	3.4	2.21	2.73	2.45
45.8	3.02	3.41	2.17	2.68	2.38
45.9	2.95	3.26	2.03	2.68	2.33
46.0	2.95	3.13	2.08	2.69	2.43
46.1	2.87	3.25	2.19	2.76	2.51
46.2	2.88	3.34	2.19	2.74	2.55
46.3	2.87	3.37	2.23	2.61	2.41
46.4	2.91	3.31	2.26	2.69	2.49
46.5	2.84	3.28	2.33	2.74	2.56
46.6	2.84	3.16	2.33	2.72	2.39
46.7	2.91	3.31	2.26	2.67	2.39
46.8	2.8	3.21	2.24	2.57	2.49
46.9	2.91	3.15	2.35	2.59	2.54
47.0	3.06	3.17	2.27	2.7	2.46
47.1	3.11	3.27	2.4	2.84	2.52
47.2	3.04	3.26	2.44	2.82	2.52
47.3	2.83	3.24	2.34	2.83	2.39
47.4	3.01	3.28	2.25	2.74	2.54
47.5	2.9	3.29	2.2	2.84	2.58
47.6	2.89	3.36	2.3	2.81	2.56
